INSTNM,SAT25,SAT75
Southern Utah University,1030,1240
Utah State University,1080,1310
University of Utah,1180,1390
Westminster College,1150,1350
Castleton University,958,1158
Middlebury College,1380,1530
University of Vermont,1240,1410
Averett University,910,1155
Bridgewater College,1065,1250
William & Mary,1360,1520
Regent University,960,1230
Christopher Newport University,1110,1320
Eastern Mennonite University,1040,1590
Ferrum College,920,1180
George Mason University,1140,1350
Hampden-Sydney College,1080,1260
James Madison University,1140,1310
Longwood University,1030,1170
University of Mary Washington,1130,1320
Norfolk State University,860,1083
Old Dominion University,1020,1220
Radford University,950,1150
Randolph College,910,1140
Roanoke College,1080,1230
Southern Virginia University,1018,1226
Sweet Briar College,1020,1260
University of Virginia's College at Wise,990,1230
Virginia Polytechnic Institute and State University,1210,1410
Virginia Commonwealth University,1070,1300
University of Virginia-Main  ,1380,1500
Virginia Military Institute,1080,1300
Virginia State University,830,1040
Virginia Union University,756,893
Virginia Wesleyan University,1150,1380
Washington and Lee University,1410,1530
The Evergreen State College,1000,1200
Gonzaga University,1210,1380
Northwest University,985,1210
Pacific Lutheran University,1150,1376
University of Puget Sound,1150,1370
Saint Martin's University,995,1225
Seattle Pacific University,1050,1300
Seattle University,1120,1330
Western Washington University,1090,1310
Whitman College,1295,1455
Whitworth University,1070,1280
Alderson Broaddus University,900,1110
Appalachian Bible College,1035,1190
Bethany College,870,1110
Bluefield State College,880,1110
Concord University,890,1130
Fairmont State University,900,1090
Marshall University,930,1150
Shepherd University,960,1180
West Liberty University,890,1175
West Virginia University Institute of Technology,920,1130
West Virginia Wesleyan College,968,1180
West Virginia University,1030,1230
Wheeling University,950,1180
Beloit College,1200,1390
Cardinal Stritch University,1010,1220
Carroll University,1070,1290
Carthage College,980,1200
Lawrence University,1230,1460
Maranatha Baptist University,930,1230
Marian University,800,1080
Marquette University,1180,1360
Milwaukee School of Engineering,1160,1405
Mount Mary University,866,1123
Northland College,1010,1160
Ripon College,940,1160
Saint Norbert College,1100,1280
Viterbo University,920,1290
Wisconsin Lutheran College,1010,1170
University of Wisconsin at Madison,1320,1500
University of Puerto Rico-Aguadilla,868,1078
University of Puerto Rico-Carolina,822,1057
University of Puerto Rico-Cayey,905,1131
University of the Virgin Islands,830,1030
Stanford University,1470,1570
Purdue University at West Lafayette,1190,1430
St. John's College,1280,1470
New College of Florida,1120,1340
Worsham College of Mortuary Science,1000,1090
Soka University of America,1205,1400
Carolinas College of Health Sciences,920,1110
Florida Gulf Coast University,1010,1180
University of Connecticut-Waterbury  ,1010,1230
University of Connecticut-Avery Point,1035,1260
University of Connecticut-Stamford,1040,1260
The King's University,870,1130
Oregon State University-Cascades  ,1105,1340
Franklin W Olin College of Engineering,1490,1580
DigiPen Institute of Technology,1178,1390
Georgia Gwinnett College,940,1170
